Workout,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Long Calisthenics,Push-Ups,Pull-Ups,Air Squats,Dips,Sit-Ups,Plank
Short Calisthenics,Push-Ups,Pull-Ups,Air Squats,None,None,None
Heavy Legs,Barbelll Back Squats,Leg Press,Hack-Squat,Hamstring Curls,Quad Extensions,Barbell Calf Raises
Light Legs,Barbelll Back Squats,Split Squats,Monster Walks,Walking Lunges,Box Jumps,Dumbell Calf Raises
Heavy Push,Barbell Flat Bench,Barbell Incline Bench,Dumbell Shoulder Presses,Dumbell Lateral Raises,Skullcrushers,Tricep Rope Pushdowns
Light Push,Dumbell Floor Press,Dumbell Incline Press,Dumbell Alternating Shoulder Raises,Dumbell Reverse Flys,Weighted Pushups,Dips
Heavy Pull,Barbell Rows,Barbell Shrugs,Deadlift,Preacher curls,Hammer curls,Drag curls
Light Pull,Dumbell Rows,Dumbell Shrugs,Kettlebell Swings,Seated flat curls,Cable hammer curls,Supernated curls
Long Jog,Jog 6 miles ,None,None,None,None,None
Short Jog,Jog 3 miles ,None,None,None,None,None
Olympic Lifts,Cleans,Barbell Shoulder Press,Deadlift,None,None,None
